benchmark,network_id,network,domain,fold,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,negative_ratio,is_primary_ratio,family,method
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,car_ra,0.7367941961776177,0.842081960992064,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7487166261729727,1853,1853,9265,11118,1090,93,10121,0.9103255981291599,9847,0.0,9847,585,9262,582,True,5,False,enhanced_local,CAR-RA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,cn,0.9368779836282838,0.9649349125075103,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9430270993355278,1853,1853,9265,11118,38,38,11118,1.0,9341,0.0,9341,127,9214,76,True,5,False,local_similarity,CN
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,fl,0.965140916093563,0.9822178355194199,0.9454937938478144,0.9454937938478144,0.9454937938478144,0.9537398652754664,1853,1853,9265,11118,887,160,10391,0.9346105414642921,9038,5.7909982406947346e-08,58,18,40,27,True,5,False,quasi_local_path,FL-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,fsw,0.9389853271081791,0.964925243380944,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9430580297823827,1853,1853,9265,11118,863,269,10524,0.9465731246627092,9341,0.0,9341,127,9214,76,True,5,False,enhanced_local,FSW
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,hdi,0.9375170580528858,0.9647336082821311,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9428744370402602,1853,1853,9265,11118,361,223,10980,0.9875876956287102,9341,0.0,9341,127,9214,76,True,5,False,local_similarity,HDI
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,hpi,0.9308658481231429,0.964405353084757,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9414386943704997,1853,1853,9265,11118,214,139,11043,0.9932541824069078,9341,0.0,9341,127,9214,76,True,5,False,local_similarity,HPI
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ia1,0.9413195101651631,0.9652802634196264,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9433134343746037,1853,1853,9265,11118,1225,126,10019,0.9011512862025545,9341,0.0,9341,127,9214,76,True,5,False,enhanced_local,IA1
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ia2,0.9409128200806427,0.9652139192319218,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.943266149784407,1853,1853,9265,11118,1218,122,10022,0.9014211189062781,9341,0.0,9341,127,9214,76,True,5,False,enhanced_local,IA2
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ja,0.9380012194345377,0.9647914191744023,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9429256620414466,1853,1853,9265,11118,438,224,10904,0.9807519338010433,9341,0.0,9341,127,9214,76,True,5,False,local_similarity,JA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lit,0.879237156277456,0.9284724032351965,0.86184565569347,0.86184565569347,0.86184565569347,0.8832969073633096,1853,1853,9265,11118,1529,48,9637,0.866792588595071,9478,0.0,9478,262,9216,213,True,5,False,enhanced_local,LIT-i2
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,llhn,0.9219384378819679,0.963535859790675,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9403107409320691,1853,1853,9265,11118,663,250,10705,0.9628530311207052,9341,0.0,9341,127,9214,76,True,5,False,local_similarity,LLHN
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lnb_aa,0.9412172784329405,0.9652484892717837,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9432965633110998,1853,1853,9265,11118,1423,138,9833,0.8844216585716855,9341,0.0,9341,127,9214,76,True,5,False,local_bayesian,LNB-AA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lnb_cn,0.9397001775575878,0.9649956066634261,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9431188939115355,1853,1853,9265,11118,1412,139,9845,0.8855009893865803,9341,0.0,9341,127,9214,76,True,5,False,local_bayesian,LNB-CN
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lnb_ra,0.9412660203592296,0.9652623522363787,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9433014314519186,1853,1853,9265,11118,1423,138,9833,0.8844216585716855,9341,0.0,9341,127,9214,76,True,5,False,local_bayesian,LNB-RA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lpi,0.965140916093563,0.9822178355194199,0.9454937938478144,0.9454937938478144,0.9454937938478144,0.9537398652754664,1853,1853,9265,11118,887,160,10391,0.9346105414642921,9038,0.002,58,18,40,27,True,5,False,quasi_local_path,LPI-beta-0.001
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lrw,0.9138764601401188,0.9498161264139278,0.8958445763626551,0.8958445763626551,0.8958445763626551,0.9118361669984447,1853,1853,9265,11118,1743,110,9485,0.8531210649397374,9157,2.940064434452145e-07,2,0,2,1,True,5,False,quasi_local_walk,LRW-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ora_cni,0.9631994753382817,0.9817736381748766,0.9400971397733405,0.9400971397733405,0.9400971397733405,0.9489074489018642,1853,1853,9265,11118,1866,89,9341,0.8401690951610001,9038,0.1,4,4,0,1,True,5,False,quasi_local_path,ORA-CNI-beta-0.001
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,pa,0.6463368732864313,0.8375134443088891,0.5758229897463573,0.5758229897463573,0.5758229897463573,0.621504504466745,1853,1853,9265,11118,515,341,10944,0.9843497031840259,840,78.0,27,7,20,12,True,5,False,degree_based,PA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,pfp,0.9591990063890263,0.9817242732064133,0.944954128440367,0.944954128440367,0.944954128440367,0.9522029139287013,1853,1853,9265,11118,1916,66,9268,0.833603166037057,9038,0.002525252525252525,2,2,0,2,False,5,False,quasi_local_walk,PFP-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ra,0.9412603744787209,0.9652708272840618,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9433065152896956,1853,1853,9265,11118,1176,145,10087,0.9072674941536247,9341,0.0,9341,127,9214,76,True,5,False,local_similarity,RA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ra_cni,0.9628164908968813,0.981533744814858,0.9400971397733405,0.9400971397733405,0.9400971397733405,0.9489078906340006,1853,1853,9265,11118,1713,114,9519,0.8561791689152726,9050,0.1,6,5,1,3,True,5,False,enhanced_local,RA-CNI
