benchmark,network_id,network,domain,family,method_id,method,parameter,parameter_value,is_primary,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,srw,SRW-l3,steps,3.0,True,0.9514148095183808,0.0009788946922131404,0.9554067386339689,0.000937237260229134,0.8905042888422781,0.0019519406258782129,0.8905042888422781,0.0019519406258782129,0.8905042888422781,0.0019519406258781925,0.8996724750580294,0.0017740682802072445
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,0.9181404715493571,0.002466114279895209,0.9348234775639359,0.0015254488969208607,0.8639531583809943,0.0022612369554727953,0.8639531583809943,0.0022612369554727953,0.8639531583809943,0.0022612369554727884,0.8723759583934264,0.0022926732744357695
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,0.8783302323441717,0.0008484321569329441,0.8921734282634677,0.0006359682180252817,0.8099457775865909,0.0011077027466087836,0.8099457775865909,0.0011077027466087836,0.8099457775865911,0.0011077027466087712,0.8221564462338279,0.0009933700835744767
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,srw,SRW-l5,steps,5.0,False,0.936897985693888,0.0009736267612548862,0.9432814534354126,0.0008885106084219914,0.8732258874212692,0.0018818746655009664,0.8732258874212692,0.0018818746655009664,0.8732258874212692,0.0018818746655009694,0.8831620370274873,0.0017178172004070505
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,0.9083249539491371,0.0026068867172166455,0.926262787557134,0.0016581173317191042,0.8540797891384966,0.002404927075086624,0.8540797891384966,0.002404927075086624,0.8540797891384966,0.002404927075086623,0.8627693061824738,0.0024669606367145884
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,0.8407514393490784,0.0005878244246322708,0.8586764774927331,0.000685904443432878,0.7750845434794278,0.0013555749928295003,0.7750845434794278,0.0013555749928295003,0.7750845434794278,0.0013555749928295003,0.7878866853067323,0.0012026758569672685
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,srw,SRW-l7,steps,7.0,False,0.922801634386755,0.0009061614965744292,0.9313312044367482,0.0007958308259794999,0.8572474708987435,0.0005111199333140176,0.8572474708987435,0.0005111199333140176,0.8572474708987435,0.0005111199333140176,0.8678301177369491,0.0005061935229168998
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,pfp,PFP-l7,steps,7.0,False,0.908323030583073,0.002606665278909764,0.9262597794294238,0.0016574952646083289,0.8540797891384966,0.002404927075086624,0.8540797891384966,0.002404927075086624,0.8540797891384966,0.002404927075086623,0.8627692393252298,0.002466974950812258
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,0.9816902513377901,0.0033042901584623345,0.9817792299589149,0.0032044937233099272,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.972709309909213,0.0042708042880810464
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,0.9820193407837634,0.0031763078666339995,0.9819806215559197,0.0031336234007191713,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727513564843016,0.004256034143356847
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.9820305938209868,0.0031636655250474564,0.981985630862454,0.0031281722276434716,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727529013024458,0.0042544106318682775
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,ora_cni,ORA-CNI-beta-0.1,beta,0.1,False,0.9818708130277874,0.003170054404710944,0.9817642311631871,0.0031051940356104897,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727138316309667,0.004258069440649823
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,ora_cni,ORA-CNI-beta-0.01,beta,0.01,False,0.9818548618885978,0.003176296854875417,0.9817550862663745,0.0031067201348598653,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727116838906976,0.0042590862621680005
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,beta,0.001,True,0.9818539636455805,0.0031765953260335083,0.9817546785321218,0.003106651737546931,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727115512794082,0.004259144889836275
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,lit,LIT-i2,iterations,2.0,True,0.9331738985288535,0.0066746094441559635,0.9329805752489582,0.006748253968034779,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.9006164927716223,0.007816232936115362
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,lit,LIT-i4,iterations,4.0,False,0.9329038067648625,0.006802336295797751,0.9327977646843306,0.0068304170957591195,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.9005826971589294,0.007835465015252834
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,lit,LIT-i6,iterations,6.0,False,0.9327796394505296,0.006886412294237291,0.9327083543874682,0.006893199074114321,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.9005675786260152,0.007847098093161942
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,0.9534237051067892,0.004969398233179982,0.9524259459944332,0.005174745511766024,0.9137614678899082,0.008258820479784672,0.9137614678899082,0.008258820479784672,0.9137614678899082,0.008258820479784672,0.9274802460168964,0.007021024090259118
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,srw,SRW-l3,steps,3.0,True,0.9830306537905141,0.0028679149873342786,0.9826687022313839,0.0029212844917775403,0.9677280086346466,0.0052238942429918955,0.9677280086346466,0.0052238942429918955,0.9677280086346466,0.0052238942429918955,0.9729435889688958,0.004400893506398309
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,0.9810902095099152,0.0039359048233712475,0.9815711689944895,0.0032541197698459333,0.9675121424716675,0.00478753483350607,0.9675121424716675,0.00478753483350607,0.9675121424716675,0.00478753483350607,0.9724936590610757,0.004161737124625949
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,0.9880458695254756,0.0018782517934154174,0.9858312929631767,0.0021061069183355464,0.9617916891527253,0.005548327323248764,0.9617916891527253,0.005548327323248764,0.9617916891527253,0.005548327323248764,0.9678273258480511,0.004703209032681511
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,srw,SRW-l5,steps,5.0,False,0.9922052495862103,0.0016717224544398187,0.990659070383378,0.0019639590777472283,0.9694549379384781,0.004443645731298139,0.9694549379384781,0.004443645731298139,0.9694549379384781,0.004443645731298139,0.9743764485525755,0.003757460133847261
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,0.9895838399066783,0.0027949949651872126,0.988928442347396,0.002176387208859445,0.9662169454937939,0.00390279217091516,0.9662169454937939,0.00390279217091516,0.9662169454937939,0.00390279217091516,0.971356311962626,0.00356551625053098
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,0.9918316583449561,0.0015951222130383895,0.9899693005231521,0.0019213499018285115,0.9621154883971939,0.005792296973555866,0.9621154883971939,0.005792296973555866,0.9621154883971939,0.005792296973555866,0.9680880584908627,0.0049111157083684565
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,srw,SRW-l7,steps,7.0,False,0.9941182771787634,0.0012989429116159164,0.9925686937563363,0.0015784542608845056,0.969670804101457,0.004117049351918062,0.969670804101457,0.004117049351918062,0.969670804101457,0.004117049351918062,0.9745465480551069,0.00348480256719226
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,pfp,PFP-l7,steps,7.0,False,0.9912694606937954,0.00278369151952723,0.9904157112822107,0.002111839791890201,0.9663248785752833,0.0039027921709151605,0.9663248785752833,0.0039027921709151605,0.9663248785752833,0.0039027921709151605,0.9714435887860619,0.003572758459618935
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,0.9678274306772844,0.0019187989103525334,0.967716844481313,0.0019162115450514978,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9501034890894408,0.002934836154745355
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,0.9678464769819755,0.0019264698168619115,0.9677248014786739,0.0019197329516751423,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9501044336204376,0.002935635684504437
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.9678464769819755,0.0019264698168619115,0.9677248014786739,0.0019197329516751787,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9501044336204376,0.002935635684504437
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,ora_cni,ORA-CNI-beta-0.1,beta,0.1,False,0.9678960758258786,0.0018173047888030071,0.9675403992222569,0.0018591895149577353,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9500857672708362,0.0029246346648378494
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,ora_cni,ORA-CNI-beta-0.01,beta,0.01,False,0.967891941669848,0.0018167005065875875,0.9675377505225802,0.0018592531646107427,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9500852539730126,0.0029244992073442313
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,beta,0.001,True,0.9678914960794941,0.0018166892075026483,0.9675374445233553,0.0018592376072024616,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9500852009094981,0.0029244984702662936
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,lit,LIT-i2,iterations,2.0,True,0.88777176085381,0.0032093062449428064,0.8877735339274819,0.003158511166761585,0.8179230840889626,0.0044184639588898435,0.8179230840889626,0.0044184639588898435,0.8179230840889626,0.004418463958889855,0.8431054463791672,0.0038889451076490836
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,lit,LIT-i4,iterations,4.0,False,0.8876508614183276,0.003235522082188697,0.8877070667988601,0.0031685161135084944,0.8179230840889626,0.0044184639588898435,0.8179230840889626,0.0044184639588898435,0.8179230840889626,0.004418463958889855,0.8430903688190876,0.0038950650147537005
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,lit,LIT-i6,iterations,6.0,False,0.887611514975448,0.0032277670067457844,0.8876829505950681,0.003162307939151458,0.8179230840889626,0.0044184639588898435,0.8179230840889626,0.0044184639588898435,0.8179230840889626,0.004418463958889855,0.8430856731703804,0.003894657717102136
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,0.9259987412329919,0.0025691869432390288,0.924766876376966,0.002559642283333407,0.8718532274141836,0.004244358082872361,0.8718532274141836,0.004244358082872361,0.8718532274141836,0.004244358082872361,0.8900501559926507,0.0036525645555173123
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,srw,SRW-l3,steps,3.0,True,0.96873017319694,0.0019368896998664244,0.9681850719600694,0.001930522277068609,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.950180722407665,0.0029382286696863743
