benchmark,network_id,network,domain,fold,family,method_id,method,parameter,parameter_value,is_primary,configuration_scoring_seconds,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count
revision,ego_facebook,ego-Facebook,social,4,quasi_local_path,lpi,LPI-beta-0.001,beta,0.01,False,0.4582911659963429,0.9917078102692245,0.9931769497692805,0.9683472890314152,0.9683472890314152,0.9683472890314152,0.9714935228992645,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,4,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.4481726158410311,0.9929449967196976,0.9941180719421048,0.9692974642199655,0.9692974642199655,0.9692974642199655,0.972442608311458,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,33.06247930414975,0.9951347797607372,0.9959599392028099,0.9754736029455431,0.9754736029455431,0.9754736029455431,0.9780272582982525,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,srw,SRW-l3,steps,3.0,True,33.06247930414975,0.9959924379060716,0.9966845331300013,0.9780271987647723,0.9780271987647723,0.9780271987647723,0.9803423044143245,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,33.06247930414975,0.984785129132222,0.990266019040654,0.9644872023279292,0.9644872023279292,0.9644872023279292,0.9672468776762719,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,lrw,LRW-l3,steps,5.0,False,139.69012816995382,0.9936459010750349,0.994657752644885,0.9695350080171031,0.9695350080171031,0.9695350080171031,0.9726910236586443,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,srw,SRW-l3,steps,5.0,False,139.69012816995382,0.9953767774362136,0.9961781373366184,0.9766613219312311,0.9766613219312311,0.9766613219312311,0.9790897480625126,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,pfp,PFP-l3,steps,5.0,False,139.69012816995382,0.9838967231565041,0.9897168603558852,0.9627650097986816,0.9627650097986816,0.9627650097986816,0.9656461956817136,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,lrw,LRW-l3,steps,7.0,False,185.4678600137122,0.9921508542528801,0.9932475206189839,0.9626462379001128,0.9626462379001128,0.9626462379001128,0.9665389101354414,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,srw,SRW-l3,steps,7.0,False,185.4678600137122,0.9948302651972227,0.9957042064969821,0.9744640418077083,0.9744640418077083,0.9744640418077083,0.9771154849629181,16839,16839,16839,33678
