benchmark,network_id,network,domain,family,analysis_family,method_id,method,fold_count,mean_distinct_score_count,mean_tie_group_count,mean_tied_candidate_count,mean_tied_candidate_ratio,mean_largest_tie_group,mean_cutoff_tie_size,cutoff_boundary_tie_count,cutoff_boundary_tie_rate
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,ra,RA,5,1263.0,282.4,5487.0,0.8483826536829054,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,sa,SA,5,844.0,378.8,6002.4,0.9280724195310383,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,so,SO,5,315.8,208.2,6360.0,0.9833632983604261,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,quasi_local_path,fl,FL-l3,5,485.8,199.6,6181.4,0.9557485604257732,3354.6,3354.6,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,quasi_local_path,lpi,LPI-beta-0.001,5,485.8,199.6,6181.4,0.9557485604257732,3354.6,3354.6,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,5,2743.4,118.0,3842.2,0.5940690096582457,3354.6,3354.6,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,quasi_local_walk,lrw,LRW-l3,5,2519.4,150.6,4098.8,0.6337436428329452,3625.8,3625.8,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,quasi_local_walk,pfp,PFP-l3,5,2762.0,113.0,3818.6,0.5904200574586329,3354.6,3354.6,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,quasi_local_walk,srw,SRW-l3,5,2693.8,136.2,3910.0,0.6045519008998308,3354.6,3354.6,5,1.0
standard,ego_facebook,ego-Facebook,social,degree_based,standard_local,pa,PA,5,6424.8,4230.8,31484.4,0.9348544144989738,131.0,7.2,2,0.4
