benchmark,network_id,network,domain,fold,family,method_id,method,parameter,parameter_value,is_primary,configuration_scoring_seconds,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,259.21429479075596,0.9917262033660574,0.992736547180719,0.9597957123344617,0.9597957123344617,0.9597957123344617,0.9640047124620416,16839,16839,16839,33678,33440,62,300,0.008907892392659897,154,3.712030647107439e-07,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,srw,SRW-l7,steps,7.0,False,259.21429479075596,0.994752283750543,0.9954934602611987,0.9722073757349011,0.9722073757349011,0.9722073757349011,0.9751372784514851,16839,16839,16839,33678,33440,62,300,0.008907892392659897,154,2.9530750257747138e-06,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,pfp,PFP-l7,steps,7.0,False,259.21429479075596,0.9849968890668931,0.9899531557044186,0.9625868519508284,0.9625868519508284,0.9625868519508284,0.9656334707562897,16839,16839,16839,33678,33475,48,251,0.007452936635192114,154,0.0020472054822428592,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,92.80543596716598,0.9875711907499866,0.98920111706808,0.9473246629847378,0.9473246629847378,0.9473246629847378,0.9527397522780761,16839,16839,16839,33678,7993,3409,29094,0.8638874042401568,11075,9.4,22,15,7,15,True
standard,ego_facebook,ego-Facebook,social,3,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,97.13352694595233,0.9920357261450637,0.993290787827179,0.9670407981471584,0.9670407981471584,0.9670407981471584,0.9703982120625002,16839,16839,16839,33678,10544,3836,26970,0.8008195261001247,11075,2.66,7,4,3,3,True
standard,ego_facebook,ego-Facebook,social,3,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,107.4752746000886,0.9932478139181329,0.9942294042860673,0.9694162361185343,0.9694162361185343,0.9694162361185343,0.9725971028376967,16839,16839,16839,33678,14446,2266,21498,0.6383395688580082,11075,2.05,5,2,3,2,True
standard,ego_facebook,ego-Facebook,social,3,quasi_local_path,ora_cni,ORA-CNI-beta-0.1,beta,0.1,False,94.98829413298517,0.9897358575063586,0.9909643320667186,0.9518379951303522,0.9518379951303522,0.9518379951303522,0.9568942365844311,16839,16839,16839,33678,20107,198,13769,0.4088425678484471,11075,1.7491871285981464,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_path,ora_cni,ORA-CNI-beta-0.01,beta,0.01,False,96.81021342985332,0.9896852689392661,0.9909166899983725,0.9516598372824989,0.9516598372824989,0.9516598372824989,0.9567339766626276,16839,16839,16839,33678,20107,198,13769,0.4088425678484471,11075,1.7465238307552535,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,beta,0.001,True,88.94377480912954,0.9896800612421508,0.9909117808445388,0.9516004513332146,0.9516004513332146,0.9516004513332146,0.9566813682260735,16839,16839,16839,33678,20107,198,13769,0.4088425678484471,11075,1.746247456037783,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,3,enhanced_local,lit,LIT-i2,iterations,2.0,True,11.461807595100254,0.9920965240068605,0.9925783909607158,0.9676940435892868,0.9676940435892868,0.9676940435892868,0.9711341701416444,16839,16839,16839,33678,18320,266,15624,0.46392303580972744,14844,0.011539972687222564,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,3,enhanced_local,lit,LIT-i4,iterations,4.0,False,23.789248941931874,0.9892142951858762,0.9895589986145783,0.948987469564701,0.948987469564701,0.948987469564701,0.9545602288240904,16839,16839,16839,33678,18824,11,14865,0.4413860680562979,14844,0.007404833378985189,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,3,enhanced_local,lit,LIT-i6,iterations,6.0,False,36.42753245169297,0.9878533885721941,0.9881445380862012,0.9377635251499495,0.9377635251499495,0.9377635251499495,0.9446119576120773,16839,16839,16839,33678,18824,11,14865,0.4413860680562979,14844,0.00697938239089683,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,48.545028157066554,0.9953170667558764,0.9958846496405855,0.9747609715541303,0.9747609715541303,0.9747609715541303,0.9774430245842712,16839,16839,16839,33678,20228,201,13651,0.4053387968406675,11077,4.0397350957827596e-07,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,srw,SRW-l3,steps,3.0,True,48.545028157066554,0.9962117854055104,0.9966779276378098,0.9777302690183503,0.9777302690183503,0.9777302690183503,0.9801208764738425,16839,16839,16839,33678,20228,202,13652,0.4053684898153097,11075,9.091610859353788e-07,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,48.545028157066554,0.9847867325120107,0.9904094442724652,0.9630025535958192,0.9630025535958192,0.9630025535958192,0.965888393620671,16839,16839,16839,33678,21707,487,12458,0.36991507809252333,11075,0.0019202806522367185,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,205.2279239599593,0.9938302604633303,0.9946246176198538,0.9682285171328464,0.9682285171328464,0.9682285171328464,0.9715786276135352,16839,16839,16839,33678,30001,350,4027,0.11957360888413801,1904,3.984874368765513e-07,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,srw,SRW-l5,steps,5.0,False,205.2279239599593,0.9956374873803373,0.9962231432034628,0.9757705326919651,0.9757705326919651,0.9757705326919651,0.9783467850156087,16839,16839,16839,33678,30003,349,4024,0.11948452996021142,1903,1.8544658862999718e-06,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,205.2279239599593,0.9840600432859193,0.9898992907898515,0.9614585189144248,0.9614585189144248,0.9614585189144248,0.9644652669621409,16839,16839,16839,33678,30823,461,3316,0.09846190391353406,1903,0.0020262578349230795,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,268.41557287285104,0.9922729425282254,0.9931420954824001,0.9620523784072689,0.9620523784072689,0.9620523784072689,0.9660487726363484,16839,16839,16839,33678,33443,72,307,0.009115743215155294,109,3.688676756833019e-07,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,srw,SRW-l7,steps,7.0,False,268.41557287285104,0.9950814867081714,0.9957405437574165,0.9732169368727359,0.9732169368727359,0.9732169368727359,0.9760589853617675,16839,16839,16839,33678,33443,71,306,0.009086050240513094,109,2.760363673026562e-06,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,pfp,PFP-l7,steps,7.0,False,268.41557287285104,0.9840597266117487,0.9898988852203896,0.9614585189144248,0.9614585189144248,0.9614585189144248,0.9644652669621409,16839,16839,16839,33678,33505,62,235,0.006977849040916919,109,0.0020262578349230795,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,86.48486545262858,0.9874247337551124,0.9892921568321874,0.9487499257675633,0.9487499257675633,0.9487499257675633,0.9539490262955368,16839,16839,16839,33678,8007,3425,29096,0.8639467901894412,11101,10.0,15,9,6,1,True
standard,ego_facebook,ego-Facebook,social,4,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,99.53903902275488,0.9917078102692245,0.9931769497692805,0.9683472890314152,0.9683472890314152,0.9683472890314152,0.9714935228992645,16839,16839,16839,33678,10604,3945,27019,0.8022744818575925,11101,3.0300000000000002,5,3,2,4,True
standard,ego_facebook,ego-Facebook,social,4,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,99.48921996029094,0.9929449967196976,0.9941180719421048,0.9692974642199655,0.9692974642199655,0.9692974642199655,0.972442608311458,16839,16839,16839,33678,14631,2228,21275,0.6317180355127977,11101,2.084,4,2,2,4,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_path,ora_cni,ORA-CNI-beta-0.1,beta,0.1,False,96.22809118404984,0.9896598502905982,0.9911177008037269,0.9544509768988657,0.9544509768988657,0.9544509768988657,0.9591521766015537,16839,16839,16839,33678,20196,195,13677,0.4061108141813647,11101,1.8291403798265267,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_path,ora_cni,ORA-CNI-beta-0.01,beta,0.01,False,86.722863889765,0.9896111156705427,0.9910714553050058,0.9542728190510126,0.9542728190510126,0.9542728190510126,0.9589922319263818,16839,16839,16839,33678,20196,195,13677,0.4061108141813647,11101,1.8228444302228652,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,beta,0.001,True,101.85242966702208,0.9896064128396185,0.9910668811868145,0.9542728190510126,0.9542728190510126,0.9542728190510126,0.9589919413793703,16839,16839,16839,33678,20196,195,13677,0.4061108141813647,11101,1.8215923939543957,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,4,enhanced_local,lit,LIT-i2,iterations,2.0,True,16.127989703323692,0.9923927595511237,0.9931518697064303,0.96935685016925,0.96935685016925,0.96935685016925,0.9725524650533117,16839,16839,16839,33678,18378,241,15541,0.46145851891442485,14776,0.01291894701564879,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,4,enhanced_local,lit,LIT-i4,iterations,4.0,False,27.909571174066514,0.9897157803111223,0.990384755672313,0.9535008017103154,0.9535008017103154,0.9535008017103154,0.9584912765862913,16839,16839,16839,33678,18893,10,14795,0.4393075598313439,14776,0.008234674977943345,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,4,enhanced_local,lit,LIT-i6,iterations,6.0,False,35.47292885230854,0.9882977618886652,0.9888995849899391,0.943642734129105,0.943642734129105,0.943642734129105,0.94975039722099,16839,16839,16839,33678,18893,10,14795,0.4393075598313439,14776,0.007345074729759407,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,49.0109640317969,0.9951347797607372,0.9959599392028099,0.9754736029455431,0.9754736029455431,0.9754736029455431,0.9780272582982525,16839,16839,16839,33678,20311,206,13573,0.4030227448185759,11104,4.498264300040312e-07,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,srw,SRW-l3,steps,3.0,True,49.0109640317969,0.9959924379060716,0.9966845331300013,0.9780271987647723,0.9780271987647723,0.9780271987647723,0.9803423044143245,16839,16839,16839,33678,20315,205,13568,0.4028742799453649,11101,1.0272348043663036e-06,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,49.0109640317969,0.984785129132222,0.990266019040654,0.9644872023279292,0.9644872023279292,0.9644872023279292,0.9672468776762719,16839,16839,16839,33678,21761,482,12399,0.3681631925886335,11101,0.0019414855682162921,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,246.37413076357916,0.9936459010750349,0.994657752644885,0.9695350080171031,0.9695350080171031,0.9695350080171031,0.9726910236586443,16839,16839,16839,33678,29529,310,4459,0.13240097392956826,2812,4.410181220726842e-07,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,srw,SRW-l5,steps,5.0,False,246.37413076357916,0.9953767774362136,0.9961781373366184,0.9766613219312311,0.9766613219312311,0.9766613219312311,0.9790897480625126,16839,16839,16839,33678,29529,310,4459,0.13240097392956826,2812,2.0715458636675835e-06,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,246.37413076357916,0.9838967231565041,0.9897168603558852,0.9627650097986816,0.9627650097986816,0.9627650097986816,0.9656461956817136,16839,16839,16839,33678,30366,248,3560,0.10570698972623077,2812,0.0020170490682729814,1,1,0,1,False
