benchmark,network_id,network,domain,negative_ratio,is_primary_ratio,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,enhanced_local,ia2,IA2,0.96669194102798,0.0037090520728800783,0.9665837024541816,0.0037356225835245543,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9482353929010404,0.00500010728625985
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_similarity,ja,JA,0.9656786264203292,0.004077585582424876,0.9659318518794656,0.003877756448344444,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9481121782155393,0.005046877448516734
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,enhanced_local,lit,LIT-i2,0.9331738985288535,0.0066746094441559635,0.9329805752489582,0.006748253968034779,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.9006164927716223,0.007816232936115362
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_similarity,llhn,LLHN,0.9608115722548666,0.005989690299241147,0.9644124884341811,0.00419030238821303,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.947121114812617,0.005501845609338716
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_bayesian,lnb_aa,LNB-AA,0.9666711682342409,0.003765712529958126,0.9665572288516252,0.003785278754245436,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9482313885938712,0.005009471227351704
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_bayesian,lnb_cn,LNB-CN,0.9663530965877541,0.003913966795637852,0.9663209468521314,0.0038871754245032274,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9481929421381785,0.005028613298103796
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_bayesian,lnb_ra,LNB-RA,0.9667526069238509,0.003694613320278794,0.9666217673590675,0.0037311269488744395,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.948241083139812,0.004999273697682975
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,quasi_local_path,lpi,LPI-beta-0.001,0.9820305938209868,0.0031636655250474564,0.981985630862454,0.0031281722276434716,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727529013024458,0.0042544106318682775
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,quasi_local_walk,lrw,LRW-l3,0.9534237051067892,0.004969398233179982,0.9524259459944332,0.005174745511766024,0.9137614678899082,0.008258820479784672,0.9137614678899082,0.008258820479784672,0.9137614678899082,0.008258820479784672,0.9274802460168964,0.007021024090259118
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,0.9818539635006669,0.003176595043708484,0.9817546785321218,0.0031066517375469326,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727115512794082,0.004259144889836275
