benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,method,family_scoring_seconds
revision,socfb_middlebury45,socfb-Middlebury45,social,4,enhanced_local,car_ra,0.944088895594033,0.9451976361435733,0.8927513575777521,0.8927513575777521,0.8927513575777523,0.9021636528738486,24308,24308,24308,48616,CAR-RA,36.35488935606554
revision,socfb_middlebury45,socfb-Middlebury45,social,4,enhanced_local,fsw,0.9539981286826957,0.9559573110741695,0.8923811090998848,0.8923811090998848,0.8923811090998848,0.9018189699907007,24308,24308,24308,48616,FSW,36.35488935606554
revision,socfb_middlebury45,socfb-Middlebury45,social,5,enhanced_local,ra_cni,0.9177987521174821,0.927866601156367,0.8533755708232197,0.8533755708232197,0.8533755708232197,0.8639187373152307,24307,24307,24307,48614,RA-CNI,36.214359876234084
revision,socfb_middlebury45,socfb-Middlebury45,social,5,enhanced_local,ia2,0.9556378897840491,0.9571233987378327,0.8941045789278809,0.8941045789278809,0.8941045789278809,0.9034772334035303,24307,24307,24307,48614,IA2,36.214359876234084
revision,socfb_middlebury45,socfb-Middlebury45,social,5,enhanced_local,car_ra,0.9439920674148398,0.9443227042696657,0.8915538733698112,0.8915538733698112,0.8915538733698112,0.9011799836334177,24307,24307,24307,48614,CAR-RA,36.214359876234084
revision,socfb_middlebury45,socfb-Middlebury45,social,5,enhanced_local,fsw,0.9542568628236494,0.9552808754380484,0.8889208869872877,0.8889208869872877,0.8889208869872877,0.8988567934971333,24307,24307,24307,48614,FSW,36.214359876234084
revision,ca_grqc,ca-GrQc,scientific_collaboration,1,enhanced_local,ra_cni,0.9819936852495812,0.9817793755782909,0.967620075553157,0.967620075553157,0.967620075553157,0.9727340786872873,1853,1853,1853,3706,RA-CNI,0.3651881739497185
revision,ca_grqc,ca-GrQc,scientific_collaboration,1,enhanced_local,ia2,0.9655162942807483,0.9653803039309369,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9488880169966393,1853,1853,1853,3706,IA2,0.3651881739497185
revision,ca_grqc,ca-GrQc,scientific_collaboration,1,enhanced_local,car_ra,0.8421478683216406,0.8421478683216406,0.7614678899082569,0.7614678899082569,0.7614678899082569,0.7962597987390844,1853,1853,1853,3706,CAR-RA,0.3651881739497185
revision,ca_grqc,ca-GrQc,scientific_collaboration,1,enhanced_local,fsw,0.9651300321137383,0.9650864440301735,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9488458776755792,1853,1853,1853,3706,FSW,0.3651881739497185
revision,ca_grqc,ca-GrQc,scientific_collaboration,2,enhanced_local,ra_cni,0.9816935373103448,0.9815466758154466,0.9665407447382622,0.9665407447382622,0.9665407447382622,0.971884472986705,1853,1853,1853,3706,RA-CNI,0.42448969976976514
revision,ca_grqc,ca-GrQc,scientific_collaboration,2,enhanced_local,ia2,0.9683778017680171,0.968322689042346,0.9395574743658931,0.9395574743658931,0.9395574743658931,0.9493544395645438,1853,1853,1853,3706,IA2,0.42448969976976514
revision,ca_grqc,ca-GrQc,scientific_collaboration,2,enhanced_local,car_ra,0.8472555096396748,0.8471794546204883,0.7733405288720993,0.7733405288720993,0.7733405288720994,0.8064613459962269,1853,1853,1853,3706,CAR-RA,0.42448969976976514
revision,ca_grqc,ca-GrQc,scientific_collaboration,2,enhanced_local,fsw,0.967899605933663,0.9679883469550553,0.9395574743658931,0.9395574743658931,0.9395574743658931,0.9493023232072677,1853,1853,1853,3706,FSW,0.42448969976976514
revision,ca_grqc,ca-GrQc,scientific_collaboration,3,enhanced_local,ra_cni,0.9865494983686522,0.9864071593474971,0.9757150566648678,0.9757150566648678,0.9757150566648678,0.9795679151747357,1853,1853,1853,3706,RA-CNI,0.40403065783903
revision,ca_grqc,ca-GrQc,scientific_collaboration,3,enhanced_local,ia2,0.9720445931538437,0.9719746773729915,0.9471127900701565,0.9471127900701565,0.9471127900701565,0.9556915765877799,1853,1853,1853,3706,IA2,0.40403065783903
revision,ca_grqc,ca-GrQc,scientific_collaboration,3,enhanced_local,car_ra,0.8588697399727537,0.8587960947213267,0.7819751753912574,0.7819751753912574,0.7819751753912574,0.8142988433639146,1853,1853,1853,3706,CAR-RA,0.40403065783903
revision,ca_grqc,ca-GrQc,scientific_collaboration,3,enhanced_local,fsw,0.9714916523422676,0.9715882035490936,0.9471127900701565,0.9471127900701565,0.9471127900701565,0.9556360645742029,1853,1853,1853,3706,FSW,0.40403065783903
revision,ca_grqc,ca-GrQc,scientific_collaboration,4,enhanced_local,ra_cni,0.9782121413607375,0.9783024217375945,0.9622234214786832,0.9622234214786832,0.9622234214786832,0.9680698087929644,1853,1853,1853,3706,RA-CNI,0.3689572489820421
revision,ca_grqc,ca-GrQc,scientific_collaboration,4,enhanced_local,ia2,0.9621846727829365,0.9620837724971014,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9433432716415505,1853,1853,1853,3706,IA2,0.3689572489820421
revision,ca_grqc,ca-GrQc,scientific_collaboration,4,enhanced_local,car_ra,0.8440805843245014,0.8439175805981403,0.7625472207231516,0.7625472207231516,0.7625472207231516,0.7972379608992316,1853,1853,1853,3706,CAR-RA,0.3689572489820421
revision,ca_grqc,ca-GrQc,scientific_collaboration,4,enhanced_local,fsw,0.9617647571233785,0.9618354914610254,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9432986110106605,1853,1853,1853,3706,FSW,0.3689572489820421
