benchmark,network_id,network,domain,fold,family,analysis_family,candidate_count,family_scoring_seconds,method_count,candidates_per_second
standard,email_eu_core,email-Eu-core,communication,3,quasi_local_path,quasi_local_path,6032,3.0925093148835003,3,1950.5195896967687
standard,email_eu_core,email-Eu-core,communication,3,quasi_local_walk,quasi_local_walk,6032,6.568590200040489,3,918.3096853816239
standard,email_eu_core,email-Eu-core,communication,4,degree_based,standard_local,6032,0.0063730543479323,1,946484.9459438624
standard,email_eu_core,email-Eu-core,communication,4,enhanced_local,enhanced_local,6032,2.8851058897562325,8,2090.737820548297
standard,email_eu_core,email-Eu-core,communication,4,local_bayesian,local_bayesian,6032,0.1255869749002158,3,48030.458610796864
standard,email_eu_core,email-Eu-core,communication,4,local_similarity,standard_local,6032,0.060501683037728,9,99699.7058121264
standard,email_eu_core,email-Eu-core,communication,4,quasi_local_path,quasi_local_path,6032,3.437883494887501,3,1754.567892998767
standard,email_eu_core,email-Eu-core,communication,4,quasi_local_walk,quasi_local_walk,6032,7.479135935660452,3,806.5102776431004
standard,email_eu_core,email-Eu-core,communication,5,degree_based,standard_local,6030,0.0083483587950468,1,722297.6573045333
standard,email_eu_core,email-Eu-core,communication,5,enhanced_local,enhanced_local,6030,3.686875688843429,8,1635.5311404306142
standard,email_eu_core,email-Eu-core,communication,5,local_bayesian,local_bayesian,6030,0.1387721211649477,3,43452.53174326423
standard,email_eu_core,email-Eu-core,communication,5,local_similarity,standard_local,6030,0.0626844000071287,9,96196.18277137926
standard,email_eu_core,email-Eu-core,communication,5,quasi_local_path,quasi_local_path,6030,3.258966895285994,3,1850.279611223492
standard,email_eu_core,email-Eu-core,communication,5,quasi_local_walk,quasi_local_walk,6030,6.6339719127863646,3,908.9577223529897
standard,email_univ,email-univ,communication,1,degree_based,standard_local,1728,0.0054904227145016,1,314729.86504953675
standard,email_univ,email-univ,communication,1,enhanced_local,enhanced_local,1728,0.1300145662389695,8,13290.818482783689
standard,email_univ,email-univ,communication,1,local_bayesian,local_bayesian,1728,0.0215785349719226,3,80079.57918590981
standard,email_univ,email-univ,communication,1,local_similarity,standard_local,1728,0.0159281441010534,9,108487.21539917005
standard,email_univ,email-univ,communication,1,quasi_local_path,quasi_local_path,1728,0.0705736279487609,3,24485.066875895805
standard,email_univ,email-univ,communication,1,quasi_local_walk,quasi_local_walk,1728,1.019622664898634,3,1694.7445947288643
standard,email_univ,email-univ,communication,2,degree_based,standard_local,1728,0.0031164810061454,1,554471.5326653846
standard,email_univ,email-univ,communication,2,enhanced_local,enhanced_local,1728,0.1280839820392429,8,13491.148326966975
standard,email_univ,email-univ,communication,2,local_bayesian,local_bayesian,1728,0.0217464021407067,3,79461.42027629424
standard,email_univ,email-univ,communication,2,local_similarity,standard_local,1728,0.0090732178650796,9,190450.62354896293
standard,email_univ,email-univ,communication,2,quasi_local_path,quasi_local_path,1728,0.0949558923020958,3,18197.922826131566
standard,email_univ,email-univ,communication,2,quasi_local_walk,quasi_local_walk,1728,1.0396176897920668,3,1662.1494776080774
standard,email_univ,email-univ,communication,3,degree_based,standard_local,1728,0.0044411341659724,1,389089.7990067024
standard,email_univ,email-univ,communication,3,enhanced_local,enhanced_local,1728,0.1483130729757249,8,11651.029577701689
standard,email_univ,email-univ,communication,3,local_bayesian,local_bayesian,1728,0.0220730332657694,3,78285.57041499874
standard,email_univ,email-univ,communication,3,local_similarity,standard_local,1728,0.0091816470958292,9,188201.52658502318
standard,email_univ,email-univ,communication,3,quasi_local_path,quasi_local_path,1728,0.0708820451982319,3,24378.529078378
standard,email_univ,email-univ,communication,3,quasi_local_walk,quasi_local_walk,1728,0.9332062392495571,3,1851.6807189261622
