benchmark,network_id,network,domain,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std,distinct_score_count_mean,distinct_score_count_std,tie_group_count_mean,tie_group_count_std,tied_candidate_count_mean,tied_candidate_count_std,tied_candidate_ratio_mean,tied_candidate_ratio_std,largest_tie_group_mean,largest_tie_group_std,cutoff_tie_size_mean,cutoff_tie_size_std,cutoff_tie_positive_count_mean,cutoff_tie_positive_count_std,cutoff_tie_negative_count_mean,cutoff_tie_negative_count_std,cutoff_slots_in_tie_mean,cutoff_slots_in_tie_std,cutoff_tie_crosses_boundary_mean,cutoff_tie_crosses_boundary_std
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,ra_cni,RA-CNI,0.9815997210819238,0.003175777422461048,0.981506018885668,0.0030986670799096694,0.9671883432271992,0.005223894242991951,0.9671883432271992,0.005223894242991951,0.9671883432271992,0.005223894242991951,0.9723512606200224,0.004441421608520953,1561.2,10.084641788382969,84.2,7.981227975693964,2229.0,8.45576726264388,0.6014570966001079,0.0022816425425374906,1865.6,9.370165420097992,1495.6,835.519479126609,52.0,29.317230428538096,1443.6,806.4557024412438,13.2,8.228000972289685,0.8,0.4472135954999579
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,ia1,IA1,0.9667321110171475,0.0037084768344434913,0.9666166124331571,0.003735351624889075,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9482399043146916,0.005002605668252711,1228.4,10.597169433391137,128.2,10.986355173577817,2605.8,6.685805860178785,0.7031300593631948,0.0018040490718237224,1964.0,10.770329614269007,1964.0,10.770329614269007,121.6,13.049904214207858,1842.4,3.911521443121598,111.0,10.770329614269007,1.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,ia2,IA2,0.96669194102798,0.0037090520728800783,0.9665837024541816,0.0037356225835245543,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9482353929010404,0.00500010728625985,1225.0,9.082951062292482,124.6,13.974977638622539,2605.6,9.60728889958033,0.7030760928224501,0.002592360739228406,1964.0,10.770329614269007,1964.0,10.770329614269007,121.6,13.049904214207858,1842.4,3.911521443121598,111.0,10.770329614269007,1.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,car_cn,CAR-CN,0.8504856860755581,0.008565048855124205,0.8504570555354437,0.00854971645048597,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.010863238113404132,0.8062516477149126,0.009520794418081197,447.8,24.70222662028668,204.0,6.244997998398398,3462.2,28.154928520598265,0.9342147868321641,0.007597120485860302,2404.2,33.1767991222782,2404.2,33.1767991222782,553.2,32.06555784638715,1851.0,1.9999999999999893,551.2,33.176799122278226,1.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,car_aa,CAR-AA,0.8506057809214045,0.008656058133259679,0.8504962853953376,0.008577789566053151,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.010863238113404132,0.8062599352675346,0.009526811827318207,1131.2,25.449950884039033,92.6,9.555103348473004,2667.4,21.40794245134271,0.7197517539125743,0.005776562992806964,2404.2,33.1767991222782,2404.2,33.1767991222782,553.2,32.06555784638715,1851.0,1.9999999999999893,551.2,33.176799122278226,1.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,car_ra,CAR-RA,0.8506555928706685,0.00866155962588055,0.8505251180317852,0.00858244424909574,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.010863238113404132,0.8062663765787288,0.00952635450500402,1118.0,25.16942589730644,95.8,9.148770409186143,2683.8,20.6567180355448,0.7241770102536428,0.005573858077588992,2404.2,33.1767991222782,2404.2,33.1767991222782,553.2,32.06555784638715,1851.0,1.9999999999999893,551.2,33.176799122278226,1.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,fsw,FSW,0.966183580847157,0.0036798159223167468,0.9662230906314611,0.0037088809323991122,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9481813986007109,0.005002438676116369,895.8,25.34166529650331,254.6,11.823705003085962,3064.8,35.590729129929365,0.8269832703723692,0.009603542668626376,1964.0,10.770329614269007,1964.0,10.770329614269007,121.6,13.049904214207858,1842.4,3.911521443121598,111.0,10.770329614269007,1.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,lit,LIT-i2,0.9331738985288535,0.0066746094441559635,0.9329805752489582,0.006748253968034779,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.9006164927716223,0.007816232936115362,1515.2,17.598295371995547,51.8,3.8987177379235862,2242.6,16.11831256676703,0.6051268213707501,0.004349247859354334,2087.6,20.887795479657488,2087.6,20.887795479657488,244.8,23.889328161335975,1842.8,3.898717737923566,234.6,20.887795479657495,1.0,0.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,ra_cni,RA-CNI,0.9674197609326866,0.0018213880936016522,0.9670660826970107,0.0018671682021976146,0.9406887575770966,0.003566739250573641,0.9406887575770966,0.003566739250573641,0.9406887575770966,0.003566739250573641,0.9492950335716435,0.0030352439965297723,2443.6,17.271363582531606,172.6,7.569676347110224,4196.6,16.14930339054908,0.6488650016708875,0.002459091139193303,3358.8,16.754103974847425,3358.8,16.754103974847425,199.2,12.67675037223657,3159.6,6.6932802122726605,125.0,16.92631087981076,1.0,0.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,ia1,IA1,0.9365502301068434,0.0025699701524496458,0.9364943256521325,0.0025638129396144604,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9041058631202388,0.004348342258846886,1370.2,17.253985046939164,261.2,13.700364958642522,5358.6,21.030929603800224,0.8285298620193234,0.0032364748365752215,3631.2,16.961721610732862,3631.2,16.961721610732862,407.2,16.528762809115516,3224.0,1.224744871391589,397.4,17.12600362022617,1.0,0.0
