benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,method,family_scoring_seconds
revision,ca_grqc,ca-GrQc,scientific_collaboration,1,quasi_local_path,lpi,0.9892003700499442,0.9823783080717694,0.9681597409606044,0.9681597409606044,0.9681597409606044,0.9732351077916478,1853,1853,1853,3706,LPI-beta-0.001,0.02664907183498144
revision,ca_grqc,ca-GrQc,scientific_collaboration,2,quasi_local_path,lpi,0.9894475803391636,0.9820869237003981,0.9670804101457097,0.9670804101457097,0.9670804101457097,0.9723803093347447,1853,1853,1853,3706,LPI-beta-0.001,0.027458488941192627
revision,ca_grqc,ca-GrQc,scientific_collaboration,3,quasi_local_path,lpi,0.9910079455491622,0.9868651322850098,0.9757150566648678,0.9757150566648678,0.9757150566648678,0.9795990939605281,1853,1853,1853,3706,LPI-beta-0.001,0.02728690067306161
revision,ca_grqc,ca-GrQc,scientific_collaboration,4,quasi_local_path,lpi,0.9850323582612959,0.9786944290977801,0.9627630868861305,0.9627630868861305,0.9627630868861305,0.9685797600719002,1853,1853,1853,3706,LPI-beta-0.001,0.026624059304594994
revision,ca_grqc,ca-GrQc,scientific_collaboration,5,quasi_local_path,lpi,0.9859079975249434,0.9799033611573128,0.9643820831084727,0.9643820831084727,0.9643820831084727,0.9699702353534086,1853,1853,1853,3706,LPI-beta-0.001,0.028096606023609638
revision,ca_hepth,ca-HepTh,scientific_collaboration,1,quasi_local_path,lpi,0.9785364613219772,0.9677060541425768,0.9418676561533704,0.9418676561533704,0.9418676561533704,0.9502682109448669,3234,3234,3234,6468,LPI-beta-0.001,0.07238075789064169
revision,ca_hepth,ca-HepTh,scientific_collaboration,2,quasi_local_path,lpi,0.9807467341042869,0.9694989537952697,0.9443413729128015,0.9443413729128015,0.9443413729128015,0.9524639324117659,3234,3234,3234,6468,LPI-beta-0.001,0.07097396207973361
revision,ca_hepth,ca-HepTh,scientific_collaboration,3,quasi_local_path,lpi,0.9799093904694418,0.9697816355979622,0.9455782312925171,0.9455782312925171,0.9455782312925171,0.9534865948098737,3234,3234,3234,6468,LPI-beta-0.001,0.07066722307354212
revision,ca_hepth,ca-HepTh,scientific_collaboration,4,quasi_local_path,lpi,0.9780578625105629,0.9655991592116692,0.9381570810142239,0.9381570810142239,0.9381570810142239,0.9471805310757742,3234,3234,3234,6468,LPI-beta-0.001,0.0696794637478888
revision,ca_hepth,ca-HepTh,scientific_collaboration,5,quasi_local_path,lpi,0.9775672892898893,0.9660382046458915,0.9381379523662233,0.9381379523662233,0.9381379523662233,0.9471228988599075,3233,3233,3233,6466,LPI-beta-0.001,0.07004298502579331
revision,email_eu_core,email-Eu-core,communication,1,quasi_local_path,lpi,0.9417788792566872,0.946773540674317,0.8769893899204244,0.8769893899204244,0.8769893899204244,0.8904092740232471,3016,3016,3016,6032,LPI-beta-0.001,0.08106843382120132
revision,email_eu_core,email-Eu-core,communication,2,quasi_local_path,lpi,0.941044053139297,0.944799321830872,0.8743368700265252,0.8743368700265252,0.8743368700265252,0.8886005249385425,3016,3016,3016,6032,LPI-beta-0.001,0.08020280813798308
revision,email_eu_core,email-Eu-core,communication,3,quasi_local_path,lpi,0.9421535919862879,0.9465436658774774,0.8726790450928382,0.8726790450928382,0.8726790450928382,0.8872881359477289,3016,3016,3016,6032,LPI-beta-0.001,0.07867543492466211
revision,email_eu_core,email-Eu-core,communication,4,quasi_local_path,lpi,0.9457006021986643,0.9490634938154775,0.8809681697612732,0.8809681697612732,0.8809681697612732,0.8946677763014977,3016,3016,3016,6032,LPI-beta-0.001,0.11619745986536145
revision,email_eu_core,email-Eu-core,communication,5,quasi_local_path,lpi,0.9455232847574375,0.9478846783220436,0.8776119402985074,0.8776119402985074,0.8776119402985074,0.891904176747308,3015,3015,3015,6030,LPI-beta-0.001,0.07874409481883049
revision,email_univ,email-univ,communication,1,quasi_local_path,lpi,0.9370353078098042,0.9279339741941016,0.8657407407407407,0.8657407407407407,0.8657407407407407,0.8861864982499208,864,864,864,1728,LPI-beta-0.001,0.01846621884033084
revision,email_univ,email-univ,communication,2,quasi_local_path,lpi,0.9343255380578936,0.9240129886831275,0.8645833333333334,0.8645833333333334,0.8645833333333333,0.8851853886312154,864,864,864,1728,LPI-beta-0.001,0.018352128099650145
revision,email_univ,email-univ,communication,3,quasi_local_path,lpi,0.9440573713318524,0.9402394654492455,0.8738425925925926,0.8738425925925926,0.8738425925925926,0.8930908205754569,864,864,864,1728,LPI-beta-0.001,0.01844537490978837
revision,email_univ,email-univ,communication,4,quasi_local_path,lpi,0.9332575711949581,0.9249761552640604,0.8715277777777778,0.8715277777777778,0.8715277777777778,0.8899791933349975,864,864,864,1728,LPI-beta-0.001,0.018753246869891882
revision,email_univ,email-univ,communication,5,quasi_local_path,lpi,0.9338817326235426,0.9285275031586977,0.8667439165701043,0.8667439165701043,0.8667439165701042,0.8866215421823317,863,863,863,1726,LPI-beta-0.001,0.018619310576468706
