benchmark,negative_ratio,is_primary_ratio,family,method_id,method,network_count,average_precision_mean,average_precision_sd_across_networks,roc_auc_mean,roc_auc_sd_across_networks,precision_mean,precision_sd_across_networks,recall_mean,recall_sd_across_networks,f1_mean,f1_sd_across_networks,ndcg_mean,ndcg_sd_across_networks,average_precision_rank
standard,1,True,enhanced_local,ia2,IA2,8,0.8800182466467095,0.12301488151690647,0.8805316502066398,0.12319914832736076,0.8278154720622748,0.1371938210583362,0.8278154720622748,0.1371938210583362,0.8278154720622748,0.1371938210583362,0.8569234965232233,0.10882555780238377,12
standard,1,True,local_similarity,ja,JA,8,0.8745314010113481,0.12056737949966975,0.8767233751707508,0.12111227908927662,0.8205258413814369,0.13194058640989742,0.8205258413814369,0.13194058640989742,0.8205258413814369,0.13194058640989742,0.8497739307433126,0.10417695969672022,18
standard,1,True,enhanced_local,lit,LIT-i2,8,0.8420465096694253,0.16065434274368257,0.8423867431909273,0.16098594442846542,0.7875715328790895,0.15890793020441382,0.7875715328790895,0.15890793020441382,0.7875715328790895,0.15890793020441382,0.8183469235653114,0.1332552306622287,22
standard,1,True,local_similarity,llhn,LLHN,8,0.8318021553302007,0.10646913968661557,0.8571296699723904,0.11135514688650794,0.8032162816870414,0.1255784887152194,0.8032162816870414,0.1255784887152194,0.8032162816870414,0.12557848871521943,0.8265164393212572,0.09942897921218302,23
standard,1,True,local_bayesian,lnb_aa,LNB-AA,8,0.880047682076669,0.12229719739174422,0.8804104326125921,0.12284987528267421,0.8270354694898332,0.13663677772280874,0.8270354694898332,0.13663677772280874,0.8270354694898332,0.13663677772280874,0.8562778781031803,0.10822075386679844,11
standard,1,True,local_bayesian,lnb_cn,LNB-CN,8,0.8789578534190761,0.12174568609312107,0.8796119092958774,0.12237303276585687,0.8258463828491072,0.13579329616563424,0.8258463828491072,0.13579329616563424,0.8258463828491072,0.13579329616563424,0.855118619572296,0.10748777128266453,14
standard,1,True,local_bayesian,lnb_ra,LNB-RA,8,0.8808589549742831,0.12301508485773789,0.8810506167026539,0.12336259750462848,0.8281342194318185,0.1373979387092495,0.8281342194318185,0.1373979387092495,0.8281342194318185,0.1373979387092495,0.857312469791356,0.10893330432181549,10
standard,1,True,quasi_local_path,lpi,LPI-beta-0.001,8,0.9180014231522624,0.08175590942330885,0.9192026666445591,0.0819491604660309,0.8670158003438897,0.1032455400539216,0.8670158003438897,0.1032455400539216,0.8670158003438897,0.1032455400539216,0.8901486451808709,0.08038458751238603,3
standard,1,True,quasi_local_walk,lrw,LRW-l3,8,0.8847370993273568,0.11854163569129264,0.8862777854311675,0.11704307648836809,0.8291708891563425,0.1286779258779216,0.8291708891563425,0.1286779258779216,0.8291708891563425,0.1286779258779216,0.8566941295253458,0.10236258643225038,7
standard,1,True,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,8,0.9123320077152134,0.0796842456051415,0.9143843399397288,0.08015964947710645,0.8596712220990428,0.10078597676115407,0.8596712220990428,0.10078597676115407,0.8596712220990428,0.10078597676115407,0.8831520444149341,0.07885292652078121,4
standard,1,True,degree_based,pa,PA,8,0.7908033208281221,0.0875373128345591,0.7901835945478217,0.08557994502644792,0.7173807382109335,0.06894284477337954,0.7173807382109335,0.06894284477337954,0.7173807382109335,0.06894284477337953,0.7431084236699189,0.06303848149431014,24
standard,1,True,quasi_local_walk,pfp,PFP-l3,8,0.9085633375784766,0.07938369572537174,0.9138578040347058,0.08022344623616287,0.861193039359571,0.10215925771191256,0.861193039359571,0.10215925771191256,0.861193039359571,0.10215925771191255,0.8831935409531906,0.08026865388185886,6
standard,1,True,local_similarity,ra,RA,8,0.8808779623682608,0.12310433798585549,0.8811485087983153,0.1234285145858912,0.8282749755413139,0.13746826170179863,0.8282749755413139,0.13746826170179863,0.8282749755413139,0.13746826170179863,0.8574256509065441,0.10899670475328292,9
standard,1,True,enhanced_local,ra_cni,RA-CNI,8,0.908618820458664,0.08557674828703284,0.910583826271588,0.08627419464330525,0.8554944914776157,0.10665753610049664,0.8554944914776157,0.10665753610049664,0.8554944914776157,0.10665753610049664,0.8797447218895789,0.08321431794602777,5
standard,1,True,local_similarity,sa,SA,8,0.8745406044042155,0.1208240335875752,0.8770554248404815,0.12145329318543552,0.8219125814024677,0.1331046470239665,0.8219125814024677,0.1331046470239665,0.8219125814024677,0.1331046470239665,0.8509025257489243,0.10519535200287382,17
standard,1,True,local_similarity,so,SO,8,0.8745314010113481,0.12056737949966975,0.8767233751707508,0.12111227908927662,0.8205258413814369,0.13194058640989742,0.8205258413814369,0.13194058640989742,0.8205258413814369,0.13194058640989742,0.8497739307433126,0.10417695969672022,18
standard,1,True,quasi_local_walk,srw,SRW-l3,8,0.9220421872498584,0.08349936810664456,0.9222991501679797,0.08360755785513355,0.8721053132555734,0.105039567062639,0.8721053132555734,0.105039567062639,0.8721053132555734,0.105039567062639,0.8948085647439017,0.08175266129183625,1
standard,5,False,local_similarity,aa,AA,8,0.7692973470193298,0.1911875465103882,0.8800915184884008,0.12257830051047514,0.7348760911651114,0.19454782501823406,0.7348760911651114,0.19454782501823406,0.7348760911651114,0.194547825018234,0.7760616700173008,0.15452755955881334,12
standard,5,False,enhanced_local,car_aa,CAR-AA,8,0.5971368357035256,0.28331003172416847,0.7725321631395534,0.1830220122168957,0.5671934538022076,0.26676670533963,0.5671934538022076,0.26676670533963,0.5671934538022076,0.26676670533963,0.6079009271282805,0.2495167815933565,25
standard,5,False,enhanced_local,car_cn,CAR-CN,8,0.5947773977340354,0.2815599694191747,0.7722272176647683,0.1827127477370992,0.5657107884368797,0.26529415221343733,0.5657107884368797,0.26529415221343733,0.5657107884368797,0.26529415221343733,0.6064284547490173,0.24814206457806143,26
standard,5,False,enhanced_local,car_ra,CAR-RA,8,0.6019705281078266,0.28771773149795654,0.7733629758960101,0.18388082625242652,0.5713070939887083,0.2706936755147822,0.5713070939887083,0.2706936755147822,0.5713070939887084,0.2706936755147822,0.6119901611333619,0.25322339798036847,24
