benchmark,network_id,network,domain,family,method_id,method,parameter,parameter_value,is_primary,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
revision,email_univ,email-univ,communication,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,0.9282186240259753,0.00417978976149354,0.9290667484976673,0.006205596641791244,0.8684876722029097,0.0039921044719378705,0.8684876722029097,0.0039921044719378705,0.8684876722029097,0.00399210447193789,0.8880754948646683,0.0032262759134763686
revision,email_univ,email-univ,communication,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,0.9290820504174946,0.004908182292945354,0.9291380173498466,0.0064932967793320555,0.8684876722029097,0.0039921044719378705,0.8684876722029097,0.0039921044719378705,0.8684876722029097,0.00399210447193789,0.8882126885947844,0.003267967637039816
revision,email_univ,email-univ,communication,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.9290820504174946,0.004908182292945354,0.9291380173498466,0.0064932967793320555,0.8684876722029097,0.0039921044719378705,0.8684876722029097,0.0039921044719378705,0.8684876722029097,0.00399210447193789,0.8882126885947844,0.003267967637039816
revision,email_univ,email-univ,communication,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,0.930379347032909,0.002864469100423866,0.9252628218090744,0.003799193187985804,0.8640879146817733,0.006292327853434295,0.8640879146817733,0.006292327853434295,0.8640879146817733,0.006292327853434295,0.885034419759409,0.005293075987391968
revision,email_univ,email-univ,communication,quasi_local_walk,srw,SRW-l3,steps,3.0,True,0.9387230902015119,0.00451597965276942,0.933973033365336,0.005266189720896356,0.8738114780481524,0.005955203079901544,0.8738114780481524,0.005955203079901544,0.8738114780481524,0.005955203079901563,0.893517857631141,0.004965051257145761
revision,email_univ,email-univ,communication,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,0.918954207114683,0.006502983936222543,0.9233805424275611,0.005368930000253496,0.8638567014291233,0.0041683906480819,0.8638567014291233,0.0041683906480819,0.8638567014291232,0.0041683906480819094,0.8794687258825542,0.006883583132742741
revision,email_univ,email-univ,communication,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,0.9393299778835139,0.0031130123892434166,0.9379884476026555,0.003935124544265283,0.865478144714819,0.004798730589216564,0.865478144714819,0.004798730589216564,0.865478144714819,0.004798730589216563,0.8856676361216348,0.00401884414934708
revision,email_univ,email-univ,communication,quasi_local_walk,srw,SRW-l5,steps,5.0,False,0.9490058931840757,0.002873605222377712,0.9458265505031271,0.0038797457136114915,0.8770538281618816,0.0061184531443701975,0.8770538281618816,0.0061184531443701975,0.8770538281618816,0.0061184531443701975,0.896252031010784,0.0050839017677968895
revision,email_univ,email-univ,communication,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,0.9196628127715047,0.006497217470516185,0.9232501266716945,0.003974569582738869,0.8536677610402987,0.006934295888913665,0.8536677610402987,0.006934295888913665,0.8536677610402987,0.006934295888913665,0.8705154098875052,0.009384966612321568
revision,email_univ,email-univ,communication,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,0.9292262935712863,0.0032389862223769833,0.9300043573739698,0.004058225939710388,0.8557532402042831,0.004316131127328662,0.8557532402042831,0.004316131127328662,0.8557532402042831,0.004316131127328662,0.8764815069214599,0.0034022085821308144
revision,email_univ,email-univ,communication,quasi_local_walk,srw,SRW-l7,steps,7.0,False,0.9481105209025003,0.0024911233121341085,0.9453785697691635,0.0035686583232286437,0.8747382086605725,0.0041759287472438456,0.8747382086605725,0.0041759287472438456,0.8747382086605725,0.0041759287472438456,0.8942400286860508,0.0035314533149344773
revision,email_univ,email-univ,communication,quasi_local_walk,pfp,PFP-l7,steps,7.0,False,0.9188036081743318,0.006502436429034668,0.9217697031186439,0.0038316749761167215,0.8529733165958543,0.006291472800971048,0.8529733165958543,0.006291472800971048,0.8529733165958543,0.006291472800971048,0.8699219320768877,0.009144204954213028
revision,power_grid,power-grid,infrastructure,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,0.7698922947811839,0.010355796488170489,0.7709223929989432,0.010700511397769594,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.7383937281401394,0.019370849937131195
revision,power_grid,power-grid,infrastructure,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,0.7698922947811839,0.010355796488170489,0.7709223929989432,0.010700511397769594,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.7383937281401394,0.019370849937131195
revision,power_grid,power-grid,infrastructure,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.7698922947811839,0.010355796488170489,0.7709223929989432,0.010700511397769594,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.7383937281401394,0.019370849937131195
revision,power_grid,power-grid,infrastructure,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,0.6906562754971034,0.0027978880663491116,0.6910452800742162,0.0029736504325912454,0.6166749061613109,0.014002583001200419,0.6166749061613109,0.014002583001200419,0.6166749061613109,0.014002583001200419,0.6800944942820879,0.011353358976334986
revision,power_grid,power-grid,infrastructure,quasi_local_walk,srw,SRW-l3,steps,3.0,True,0.7707283825985962,0.01056767097158248,0.771159173254168,0.010777306142703183,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.7384819683867189,0.0193821087969369
revision,power_grid,power-grid,infrastructure,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,0.769255908427667,0.010074311893584934,0.7709381199930143,0.010617905646602843,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.7376475289695799,0.019129800516301268
revision,power_grid,power-grid,infrastructure,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,0.8104977177240278,0.011941060393954303,0.8107014329053385,0.011102437924266564,0.7261191980225213,0.015765952382493887,0.7261191980225213,0.015765952382493887,0.7261191980225213,0.015765952382493887,0.7790197058664438,0.013489673796708184
revision,power_grid,power-grid,infrastructure,quasi_local_walk,srw,SRW-l5,steps,5.0,False,0.8737779167520314,0.009778689970221879,0.8740111134570625,0.009292670257835272,0.8028984711159938,0.01204334787023162,0.8028984711159938,0.01204334787023162,0.8028984711159938,0.012043347870231633,0.8430183933129681,0.010206830607999437
revision,power_grid,power-grid,infrastructure,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,0.8723999468448372,0.009880821108236452,0.873718020726997,0.009207891494511377,0.8028984711159938,0.01204334787023162,0.8028984711159938,0.01204334787023162,0.8028984711159938,0.012043347870231633,0.8424575518452901,0.010533329329922422
revision,power_grid,power-grid,infrastructure,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,0.8947587081401499,0.014194045158557376,0.8957901144486569,0.013760390615436768,0.8343403826787512,0.011191395151507032,0.8343403826787512,0.011191395151507032,0.8343403826787512,0.011191395151507032,0.8677997009933586,0.009766715914403017
