benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,method,family_scoring_seconds
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_similarity,cn,0.9435631815375612,0.9512335611314064,0.8871153529702156,0.8871153529702156,0.8871153529702156,0.8965210255100468,24308,24308,24308,48616,99,85,48602,0.9997120289616587,13601,5.0,1392,774,618,849,True,CN,0.7669498771429062
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_similarity,aa,0.9506055604975798,0.9541929849770359,0.8923811090998848,0.8923811090998848,0.8923811090998848,0.901408406540002,24308,24308,24308,48616,30886,491,18221,0.3747943064011848,13601,1.0508126964650457,1,0,1,1,False,AA,0.7669498771429062
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_similarity,ra,0.9549939127951491,0.9576078397348123,0.8978936975481323,0.8978936975481323,0.8978936975481323,0.9066674580177311,24308,24308,24308,48616,30862,494,18248,0.37534967911798583,13601,0.04848588708237831,1,1,0,1,False,RA,0.7669498771429062
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_similarity,ja,0.9508400187618598,0.9543400193444727,0.8925868026987,0.8925868026987,0.8925868026987,0.9015230449447164,24308,24308,24308,48616,6627,4169,46158,0.9494405134112226,13601,0.03125,62,30,32,29,True,JA,0.7669498771429062
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_similarity,sa,0.9515565599752385,0.9549224356754111,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.9020580553194051,24308,24308,24308,48616,26335,5090,27371,0.5630039493170973,13601,0.06807921404144805,1,1,0,1,False,SA,0.7669498771429062
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_similarity,so,0.9508400187618598,0.9543400193444727,0.8925868026987,0.8925868026987,0.8925868026987,0.9015230449447164,24308,24308,24308,48616,6627,4169,46158,0.9494405134112226,13601,0.06060606060606061,62,30,32,29,True,SO,0.7669498771429062
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_similarity,hpi,0.9235896858913427,0.9428464359490104,0.8797926608523943,0.8797926608523943,0.8797926608523943,0.885010589904583,24308,24308,24308,48616,3466,2417,47567,0.978422741484285,13601,0.0989010989010989,6,4,2,6,False,HPI,0.7669498771429062
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_similarity,hdi,0.9460425819631416,0.9503651225541213,0.8861280236959026,0.8861280236959026,0.8861280236959026,0.8955260367669828,24308,24308,24308,48616,4855,3482,47243,0.9717582688826724,13601,0.045454545454545456,85,38,47,60,True,HDI,0.7669498771429062
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_similarity,llhn,0.8761264073548789,0.917327095321521,0.8502139213427679,0.8502139213427679,0.850213921342768,0.853519129838859,24308,24308,24308,48616,20387,5572,33801,0.695264933355274,13601,0.0008064516129032258,9,3,6,1,True,LLHN,0.7669498771429062
standard,socfb_middlebury45,socfb-Middlebury45,social,3,local_similarity,cn,0.9430422532128803,0.9501842538405639,0.8837008392298832,0.8837008392298832,0.8837008392298831,0.893528185743399,24308,24308,24308,48616,103,89,48602,0.9997120289616587,13546,5.0,1474,813,661,941,True,CN,0.577319797128439
