benchmark,network_id,network,domain,family,analysis_family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,quasi_local_walk,lrw,LRW-l3,0.9534237051067892,0.004969398233179972,0.9524259459944332,0.00517474551176608,0.9137614678899082,0.008258820479784695,0.9137614678899082,0.008258820479784695,0.9137614678899082,0.008258820479784695,0.9274802460168964,0.007021024090259136
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,quasi_local_walk,pfp,PFP-l3,0.9810902095099152,0.003935904823371298,0.9815711689944895,0.003254119769845911,0.9675121424716675,0.004787534833506092,0.9675121424716675,0.004787534833506092,0.9675121424716675,0.004787534833506092,0.9724936590610757,0.004161737124625892
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,quasi_local_walk,srw,SRW-l3,0.9830306537905142,0.002867914987334268,0.9826687022313841,0.0029212844917775043,0.9677280086346466,0.0052238942429919865,0.9677280086346466,0.0052238942429919865,0.9677280086346466,0.0052238942429919865,0.9729435889688958,0.00440089350639837
standard,ca_hepth,ca-HepTh,scientific_collaboration,degree_based,standard_local,pa,PA,0.8352817232942801,0.002571408808192637,0.8253882061086035,0.0024377863421652293,0.7463045077998018,0.0033913149582840804,0.7463045077998018,0.0033913149582840804,0.7463045077998018,0.003391314958284049,0.7711835563743815,0.0028553970637465735
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,car_aa,CAR-AA,0.7405121719956682,0.003858339799907191,0.7404590183084541,0.0038962610980995327,0.6573689960195196,0.003630696992598243,0.6573689960195196,0.003630696992598243,0.6573689960195196,0.003630696992598243,0.6971291531671893,0.003432733096244645
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,car_cn,CAR-CN,0.7404351195257061,0.00390981055524106,0.7404421553188911,0.003910770201190259,0.6573689960195196,0.003630696992598243,0.6573689960195196,0.003630696992598243,0.6573689960195196,0.003630696992598243,0.6971231621819577,0.003435800847074849
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,car_ra,CAR-RA,0.7405148813556999,0.0038597346842312295,0.7404595822042825,0.0038967463871271016,0.6573689960195196,0.003630696992598243,0.6573689960195196,0.003630696992598243,0.6573689960195196,0.003630696992598243,0.697129596340284,0.003432784106769627
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,fsw,FSW,0.9359854343793181,0.0025719154087055366,0.936189912537387,0.002557660767661884,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9040360053209355,0.004344641381961044
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,ia1,IA1,0.9365502301068434,0.0025699701524497403,0.9364943256521325,0.0025638129396145523,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9041058631202388,0.0043483422588468665
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,ia2,IA2,0.9364120943953159,0.0026235148452129426,0.9364088635666066,0.002585165814859119,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.904089964833538,0.0043556162958507914
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,lit,LIT-i2,0.88777176085381,0.0032093062449428064,0.8877735339274819,0.003158511166761585,0.8179230840889626,0.0044184639588898435,0.8179230840889626,0.0044184639588898435,0.8179230840889626,0.004418463958889855,0.8431054463791672,0.0038889451076490836
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,ra_cni,RA-CNI,0.9674197620998038,0.001821385922234637,0.9670660826970107,0.0018671682021975864,0.9406887575770965,0.003566739250573639,0.9406887575770965,0.003566739250573639,0.9406887575770965,0.003566739250573639,0.9492950335716437,0.003035243996529775
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,local_bayesian,lnb_aa,LNB-AA,0.9365558638416178,0.002582575863662897,0.9364889258833022,0.0025733941999040626,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9041053102845382,0.00434986413481143
